"노선번호","노선ID"
"40-5","239000005"
"43","239000006"
"40-6","239000007"
"30-5","239000010"
"30-3","239000011"
"80","239000012"
"30-6","239000013"
"40-2","239000014"
"1330-44","239000024"
"73-1","239000031"
"10-4","239000032"
"12","239000033"
"10-6","239000036"
"74-1","239000038"
"40-4","239000040"
"74-2","239000041"
"20-1","239000044"
"20-3","239000045"
"60-29","239000047"
"71-1","239000048"
"30-4","239000055"
"71-3","239000058"
"20-2","239000065"
"20-5","239000068"
"20-4","239000072"
"30-7","239000078"
"30-2","239000082"
"10-7","239000084"
"71-4","239000101"
"8005","239000104"
"8005","239000104"
"8005","239000104"
"1330-2","239000110"
"1330-4","239000111"
"15","239000112"
"60-19","239000120"
"60-10","239000121"
"41","239000129"
"1330-3","239000135"
"40-8","239000138"
"7000","239000139"
"7000","239000139"
"7000","239000139"
"7001","239000140"
"7001","239000140"
"7002","239000141"
"7002","239000141"
"7002","239000141"
"30-8","239000142"
"71-2","239000143"
"74-3","239000144"
"15-3","239000145"
"15-1","239000146"
"15-2","239000147"
"15-4","239000148"
"15-5","239000149"
"23-1","239000153"
"60-30","239000154"
"20-6","239000156"
"30","239000157"
"44","239000158"
"60","239000159"
"85","218000001"
"97","218000006"
"1001","218000007"
"1500","218000010"
"1100","218000011"
"1100","218000011"
"88A","218000018"
"88A","218000018"
"88A","218000018"
"88B","218000019"
"88B","218000019"
"88B","218000019"
"60","218000107"
"60","218000107"
"999","218000111"
"M7646","218000112"
"M7646","218000112"
"730","218000116"
"65","218000125"
"고양똑버스01","218000127"
"67","218000130"
"100","218000133"
"100","218000133"
"81","218000134"
"81","218000134"
"81","218000134"
"83","218000135"
"83","218000135"
"87","218000144"
"50","218000145"
"50","218000145"
"89","218000147"
"89","218000147"
"99","218000148"
"99","218000148"
"98","218000149"
"98","218000149"
"69","218000150"
"69","218000150"
"3800","218000151"
"3800","218000151"
"M7119","218000155"
"고양똑버스04","218000157"
"M7731","218000158"
"고양똑버스03","218000161"
"84","218000162"
"7602","218000164"
"7602","218000164"
"11","219000001"
"82","219000005"
"1082","219000006"
"55","219000008"
"55","219000008"
"1000","219000013"
"1000","219000013"
"1000","219000013"
"921","219000015"
"1200","219000016"
"1200","219000016"
"3300","219000025"
"9700","219000026"
"1900","219000027"
"1900","219000027"
"830","229000017"
"830","229000017"
"66","229000018"
"790","229000060"
"850","229000063"
"799","229000071"
"96","232000003"
"95","232000004"
"N001","241210001"
"N002","241210002"
"N002","241210002"
"N003","241210003"
"N005","241210005"
"N007","241210007"
"N007","241210007"
"017A","241227002"
"017A","241227002"
"019","241227003"
"019","241227003"
"025","241293001"
"025","241293001"
"026","241293002"
"026","241293002"
"036","241293003"
"037","241293004"
"037","241293004"
"059","241293006"
"088","241293007"
"060","241294002"
"065","241298003"
"057","241299002"
"057","241299002"
"056","241299005"
"056","241299005"
"062A","241299006"
"062B","241299007"
"018","241304002"
"018","241304002"
"012","241304005"
"012","241304005"
"016","241304006"
"016","241304006"
"013","241304707"
"013","241304707"
"077A","241306001"
"077A","241306001"
"077B","241306002"
"093","241306703"
"093","241306703"
"094","241306704"
"011","241308701"
"066","241309001"
"035","241312008"
"035","241312008"
"030","241312013"
"030","241312013"
"022A","241312014"
"022A","241312014"
"023","241312015"
"023","241312015"
"024A","241312016"
"024A","241312016"
"024B","241312017"
"024B","241312017"
"022B","241312018"
"022B","241312018"
"054","241312019"
"054","241312019"
"064","241312020"
"064","241312020"
"027","241313001"
"028","241313002"
"029A","241313003"
"029B","241313004"
"029B","241313004"
"015","241313005"
"021","241314001"
"021","241314001"
"020","241314002"
"020","241314002"
"071","241325002"
"074","241325004"
"079","241325005"
"072A","241325006"
"072B","241325007"
"070A","241326001"
"070A","241326001"
"078","241326003"
"053","241328002"
"053","241328002"
"055","241328004"
"033","241328006"
"033","241328006"
"051A","241328007"
"051B","241328008"
"052A","241328009"
"052A","241328009"
"052B","241328010"
"097","241331001"
"098","241331002"
"099","241331003"
"031","241333001"
"031","241333001"
"040","241352001"
"043(원당역)","241352002"
"042","241352003"
"042","241352003"
"043","241352004"
"048","241352006"
"048","241352006"
"075A","241352007"
"075A","241352007"
"047","241352008"
"047","241352008"
"075B","241352009"
"075B","241352009"
"046","241352010"
"046","241352010"
"041B","241352011"
"067","241355001"
"068","241355002"
"069","241355003"
"090","241355004"
"092","241355006"
"091A","241355007"
"091B","241355008"
"066A","241355010"
"6","220000012"
"8","220000022"
"8-1","220000023"
"8-1","220000023"
"7","220000024"
"1","241329003"
"2","241329004"
"2","241329004"
"3","241329005"
"5","241329007"
"G9633","208000066"
"21","213000002"
"27","213000003"
"12","213000004"
"17","213000005"
"1","213000006"
"11-1","213000007"
"11","213000008"
"39","213000009"
"22","213000010"
"11-2","213000011"
"3001","213000015"
"101","213000016"
"2","213000017"
"3002","213000019"
"8507","213000024"
"77","213000026"
"102","213000027"
"200","213000029"
"광명01","241238001"
"1","241274001"
"1","241274001"
"1-1","241274002"
"1-3","241274004"
"1-3","241274004"
"88","241274006"
"99","241274007"
"1A","241274008"
"521","204000025"
"521","204000025"
"3200","218000005"
"32","234000009"
"1113-1","234000011"
"17","234000012"
"700-2","234000021"
"720-1","234000024"
"720-2","234000026"
"16","234000034"
"65","234000038"
"119","234000040"
"520","234000044"
"660","234000046"
"31-3","234000057"
"1","234000059"
"1","234000059"
"8","234000070"
"13","234000072"
"500-2","234000075"
"500-1","234000079"
"13-2","234000082"
"12","234000083"
"9","234000095"
"2-2","234000132"
"2-1","234000150"
"2-1","234000150"
"431","234000213"
"431","234000213"
"60","234000316"
"32-1","234000317"
"988-1","234000360"
"10","234000446"
"21","234000470"
"21","234000470"
"947A","234000495"
"15-1","234000505"
"35-1","234000553"
"35-1","234000553"
"35-3","234000556"
"35-3","234000556"
"35-5","234000586"
"35-5","234000586"
"35-5","234000586"
"35-5","234000586"
"38-2","234000798"
"38-2","234000798"
"35-6","234000813"
"34-1","234000824"
"34-1","234000824"
"33-2","234000829"
"33-2","234000829"
"17-1","234000849"
"31-2","234000850"
"988-3","234000860"
"988-3","234000860"
"988-2","234000861"
"989-3","234000862"
"38-8","234000901"
"35-32","234000929"
"35-32","234000929"
"35-32","234000929"
"38-51","234000956"
"1-21","234000960"
"39-1","234000996"
"36-7","234000998"
"39-6","234001001"
"37-2","234001003"
"37-3","234001007"
"37-32","234001008"
"39-4","234001009"
"36-9","234001010"
"36-6","234001011"
"39-5","234001012"
"39-7","234001013"
"36-10","234001014"
"38-22","234001015"
"38-23","234001016"
"38-21","234001017"
"38-21","234001017"
"38-21","234001017"
"38-21","234001017"
"38-81","234001022"
"38-81","234001022"
"38-82","234001023"
"35-35","234001025"
"35-35","234001025"
"35-35","234001025"
"35-2","234001028"
"35-2","234001028"
"35-21","234001029"
"35-21","234001029"
"35","234001030"
"35","234001030"
"35-36","234001034"
"35-36","234001034"
"35-36","234001034"
"34","234001040"
"36-5","234001042"
"36-51","234001043"
"37-31","234001044"
"945","234001046"
"946","234001047"
"34-13","234001051"
"39-2","234001056"
"39-8","234001057"
"36-8","234001059"
"33-5","234001118"
"35-4","234001145"
"35-7","234001146"
"35-27","234001148"
"35-25","234001149"
"35-26","234001150"
"38-24","234001153"
"34-12","234001158"
"39-11","234001161"
"36-72","234001166"
"1113-10","234001203"
"1113-10","234001203"
"1113-11","234001204"
"1113-11","234001204"
"9-1","234001232"
"1-20","234001239"
"M7412","234001241"
"9600","234001244"
"36-14","234001247"
"36-13","234001248"
"39-9","234001249"
"39-10","234001250"
"949","234001252"
"38-83","234001253"
"38-19","234001254"
"522","234001257"
"987-2","234001274"
"35-20","234001279"
"17-3","234001291"
"911-1","234001292"
"911-2","234001293"
"912","234001294"
"913","234001296"
"915","234001297"
"918-1","234001299"
"930","234001303"
"930-1","234001304"
"916","234001314"
"917","234001315"
"917","234001315"
"130","234001370"
"995","234001371"
"935","234001373"
"924","234001375"
"952-1","234001379"
"924-1","234001380"
"952-2","234001387"
"952-3","234001388"
"930-2","234001390"
"974","234001396"
"974-1","234001397"
"963-1","234001400"
"918-2","234001402"
"961-1","234001403"
"981-2","234001405"
"120","234001406"
"929-2","234001408"
"929-3","234001409"
"925","234001410"
"924-2","234001411"
"925-1","234001412"
"915-2","234001413"
"915-1","234001414"
"33-4","234001415"
"913-2","234001417"
"913-3","234001418"
"988-4","234001431"
"989-5","234001434"
"983-1","234001441"
"983-1","234001441"
"981-3","234001442"
"987-3","234001443"
"912-2","234001446"
"911-5","234001479"
"938-1","234001484"
"971","234001485"
"971-1","234001486"
"971-2","234001487"
"972-2","234001488"
"972-3","234001489"
"972-4","234001490"
"954","234001493"
"953-2","234001495"
"955-1","234001497"
"953-3","234001499"
"961-2","234001500"
"140","234001502"
"966-1","234001504"
"915-3","234001507"
"35-17","234001509"
"33-7","234001510"
"971-3","234001515"
"1113-2","234001516"
"38-84","234001522"
"34-16","234001524"
"32-2","234001526"
"912-5","234001540"
"930-4A","234001542"
"930-4B","234001543"
"930-4","234001544"
"930-8","234001545"
"981-5","234001548"
"950-3","234001550"
"950B","234001551"
"981-4","234001553"
"918-7","234001557"
"912-4","234001560"
"1-13","234001565"
"38-26","234001572"
"38-52","234001573"
"38-53","234001575"
"17-1A","234001578"
"901","234001587"
"902","234001588"
"1-22","234001590"
"1-23","234001593"
"38-85","234001594"
"35-31","234001595"
"35-33","234001596"
"903","234001597"
"950-1","234001603"
"500-1A","234001609"
"3","234001618"
"3","234001618"
"37-21","234001620"
"320","234001621"
"907","234001624"
"930-2B","234001639"
"901A","234001640"
"901B","234001641"
"930A","234001642"
"930B","234001643"
"971-2B","234001644"
"948A","234001650"
"948B","234001651"
"947B","234001652"
"36-51B","234001653"
"37-3A","234001656"
"37-3B","234001657"
"522-1","234001659"
"2-3","234001661"
"2-3","234001661"
"38-41","234001662"
"33","234001663"
"33-21","234001664"
"2-5","234001665"
"1-12","234001666"
"35-34","234001667"
"913-1","234001669"
"930-6","234001671"
"930-7","234001672"
"930-5","234001673"
"916B","234001675"
"916-1","234001676"
"916-2","234001677"
"916-2B","234001678"
"912-6","234001680"
"34-2","234001681"
"924-3","234001682"
"15-2","234001683"
"36-8B","234001684"
"36-52","234001685"
"36-13A","234001686"
"522-2","234001692"
"33-1","234001693"
"3201","234001694"
"G3202","234001695"
"15-3","234001698"
"15-5","234001699"
"38-25","234001700"
"38-27","234001702"
"38-27","234001702"
"38-40","234001703"
"38-40","234001703"
"38-41A","234001704"
"3800","234001705"
"2-6","234001706"
"910","234001707"
"160","234001719"
"150","234001720"
"165","234001721"
"155","234001722"
"170","234001723"
"180","234001724"
"175","234001725"
"185","234001726"
"35-17A","234001727"
"35-30","234001728"
"932","234001731"
"933","234001732"
"935A","234001733"
"935B","234001734"
"2-7","234001735"
"3302","234001736"
"500-2N","234001738"
"8301","234001741"
"신현양재MDRT","234001743"
"432","234001744"
"8302","234001745"
"광주똑버스02","234001746"
"광주똑버스04","234001747"
"광주똑버스01","234001748"
"광주똑버스03","234001749"
"학생1","234001750"
"학생1","234001750"
"학생2","234001751"
"학생2","234001751"
"학생3","234001752"
"학생3","234001752"
"학생4","234001753"
"학생4","234001753"
"학생5","234001754"
"학생5","234001754"
"학생6","234001755"
"학생6","234001755"
"921","234001756"
"920","237000047"
"110","237000052"
"929","237000053"
"960","237000054"
"961","237000059"
"962","237000060"
"963","237000061"
"964","237000062"
"972","237000070"
"972-1","237000071"
"981","237000077"
"981","237000077"
"991","237000083"
"992","237000084"
"992-1","237000085"
"929-1","237000087"
"931","237000094"
"939","237000097"
"952","237000099"
"953","237000100"
"950","237000101"
"광주1","241243001"
"광주1","241243001"
"광주2","241243002"
"광주2","241243002"
"광주3","241243003"
"광주5","241243005"
"광주5","241243005"
"광주6","241243006"
"광주7","241243007"
"광주7","241243007"
"광주8","241243008"
"광주8","241243008"
"광주9","241243009"
"광주10","241243010"
"광주11","241243011"
"광주14","241243014"
"광주14","241243014"
"광주15","241243015"
"광주16","241243016"
"78","207000080"
"75","221000032"
"1680","221000033"
"75-1","221000034"
"G1690","221000035"
"680","221000040"
"79","221000041"
"93","222000026"
"51","222000050"
"95","222000052"
"95","222000052"
"1115-6","234000031"
"15","234000035"
"1650","234000050"
"92","234000058"
"7","241241001"
"7-1","241241003"
"6","241338001"
"6","241338001"
"6-1","241338002"
"6-1","241338002"
"6-2","241338003"
"2","241339001"
"2-2","241339004"
"2-2","241339004"
"5","241340001"
"5","241340001"
"8","241340005"
"8","241340005"
"3","241340008"
"3","241340008"
"3030","208000027"
"100","225000004"
"100-1","225000005"
"31","225000006"
"30","225000009"
"32","225000012"
"P9801(출근)","225000013"
"P9801(출근)","225000013"
"P9801(퇴근)","225000014"
"P9801(퇴근)","225000014"
"6501","234001163"
"5","241381001"
"10","241381002"
"11","241381003"
"9","241382001"
"1","241382002"
"1","241382002"
"6","241382003"
"6-1","241382004"
"6-1","241382004"
"7","241382005"
"1-2","241382006"
"1-1","241382008"
"3","241383001"
"3","241383001"
"3-1","241383002"
"3-1","241383002"
"2","241384001"
"2","241384001"
"12","241384002"
"12","241384002"
"9008","232000005"
"1002","232000006"
"1002","232000006"
"8000","232000007"
"81","232000009"
"841","232000014"
"53","232000015"
"60","232000017"
"60-3","232000025"
"60-3","232000025"
"2","232000028"
"88","232000029"
"102","232000031"
"101","232000032"
"83","232000035"
"86-1","232000039"
"8600","232000047"
"90","232000056"
"81-1","232000065"
"388","232000067"
"M6117","232000071"
"8601","232000072"
"1004","232000073"
"M6427","232000075"
"6427","232000081"
